Cód. Parceiro;Qty;Prazo Cross Dock
745260UNICA;100;10
745300UNICA;100;10
745350UNICA;100;10
745400UNICA;100;2
746000UNICA;100;10
750505UNICA;38;10
750702UNICA;0;10
750703UNICA;27;10
750704UNICA;18;2
750710UNICA;100;10
750712UNICA;12;10
750720UNICA;100;10
801060UNICA;0;10
802050UNICA;0;10
802060UNICA;0;10
802070UNICA;0;10
802080UNICA;0;10
802090UNICA;21;10
802100UNICA;0;10
802110UNICA;65;10
802240UNICA;34;10
802250UNICA;78;10
802260UNICA;60;10
802270UNICA;23;10
802370VERDE;0;10
802380LARANJA;0;10
802390AZUL;0;10
802400VERDE;0;10
802410LARANJA;0;10
802420AZUL;0;10
802430VERDE;1;2
803120UNICA;56;10
803140UNICA;96;10
803452UNICA;11;2
803490LARANJA;0;10
804380TRANSPARENTE;77;10
807091UNICA;0;10
807092UNICA;0;10
807093UNICA;0;10
807104UNICA;52;10
807106UNICA;50;10
807110UNICA;45;10
807111UNICA;59;2
807112UNICA;79;10
900150UNICA;100;2
900175UNICA;100;2
900170UNICA;100;2
150620UNICA;100;10
106140UNICA;0;10
I0086;1;2
030710AZUL;100;10
155154UNICA;100;10
155372UNICA;100;10
563002UNICA;100;10
563004UNICA;100;10
563006UNICA;100;2
563008UNICA;0;10
563020AZUL;39;10
563025VERMELHO;100;2
120450AMARELO;0;10
310895UNICA;99;2
310385UNICA;100;10
310655UNICA;100;10
807094UNICA;9;10
I0096;1;2
I0101;0;6
110120015554;0;12
110120015673;0;12
110120002188;0;12
110120002189;0;12
110120014789;0;12
110120003209;0;12
110120015757;0;12
110130001169;0;12
110130001990;0;12
110128107030;0;12
110130001998;0;12
110130001996;0;12
110120011322;0;12
110120011323;0;12
110120021162;4;2
110120011328;4;2
110120011325;0;12
110162700748;0;12
110160500748;0;12
110162810753;0;12
110162400703;0;12
110130000023;0;12
110152950780;0;12
110130000484;0;12
110130000433;0;12
110130000480;0;12
110162010748;0;12
110120002656;0;12
110120002659;0;12
110120002662;0;12
110120004448;0;12
110120004449;0;12
110120009291;0;12
110120009450;0;12
110120012078;0;12
110120012115;0;12
110120015094;0;12
110120015755;0;12
110120015768;0;12
110120016596;0;12
110130001842;0;12
110130002001;0;12
110130002458;0;12
23;0;12
25;0;12
27;0;12
77;0;12
178;4;2
355;2;2
365;0;12
0400;0;12
0450;0;12
572;0;12
702;0;12
704;4;2
706;0;12
721;0;12
736;0;12
1000;5;2
1110;0;12
1152;0;12
1211;0;12
1350;1;2
1390;0;12
3100;0;12
3110;0;12
3111;0;12
3123;0;12
3130;0;12
3200;0;12
3201;0;12
3210;0;12
3300;0;12
3350;0;12
3502;0;12
3504;0;12
3510;0;12
3511;0;12
4134vd;0;12
4135;0;12
4220vmcz;0;12
4222az;0;12
4241vmcz;0;12
4260az2t;0;12
6300;0;12
8235;0;12
8252;0;12
8326;0;12
8350;0;12
8416;1;2
8832;0;12
8941;0;12
8950;0;12
9173;0;12
9202;0;12
9269;0;12
9335;0;12
9356;0;12
9360;1;2
9660;0;12
9695;4;2
9815;0;12
9918;0;12
110130000481;0;12
110130000482;0;12
110130000483;0;12
110130000451;0;12
110130000452;0;12
110130000450;0;12
110130000486;0;12
110130000487;0;12
110162400718;0;12
110130001017;2;2
110155420718;0;12
110130000736;1;2
110130000166;0;12
110120507530;0;12
101387481311;0;12
101387281310;0;12
101387161310;0;12
110120018021;0;12
110120018023;0;12
110120018024;0;12
110120014930;3;2
049126PRETO;0;10
049133PRETO;0;10
049138AMARELO;100;10
049141VERMELHO;100;10
049139LARANJA;100;10
049140PRATA;100;10
049173VERDEECINZA;0;10
049154UNICA;0;10
049143PRETO;0;10
049186PRATA;100;10
AG0300;2;2
AG0600;0;6
049127PRETO;100;10
AS0200;0;6
049018LARANJA;91;10
049014BRANCOEAZUL;47;10
049006VERDEECINZA;0;10
049016VERDE;100;10
049019CINZA;0;10
049260UNICA;100;10
049262UNICA;100;10
049257UNICA;28;10
049063BRANCO;100;10
049057PRETO;100;10
CA1300;0;6
049056PRETOECINZA;100;10
049055UNICA;100;10
049051UNICA;100;10
049054PRETO;100;10
049050PRETO;100;10
049046PRETOECINZA;0;10
CB0700;1;2
049047PRETO;100;10
049162CINZA;0;10
049159UNICA;100;10
CC0400;0;6
049040PRETO;0;10
049044PRETO;6;10
049043UNICA;0;10
049182VERDE;100;10
GA0301;1;2
GA0302;0;2
GA0303;1;2
049226UNICA;99;2
049228UNICA;0;10
049164MARROM;0;10
LA0101;1;2
049075UNICA;0;10
049080UNICA;0;10
049078UNICA;47;10
049077UNICA;6;10
049076UNICA;100;10
049082UNICA;65;10
049074UNICA;0;10
049094VERDE;100;10
049094AZUL;100;10
049093VERDE;100;10
049105AZUL;100;10
049105VERDE;100;10
049096PRETO;100;10
049095LARANJA;0;10
049092PRETO;100;10
049101VERMELHO;0;10
049103VERDE;0;10
049114UNICA;100;10
049113UNICA;0;10
OE0300;1;2
049110BRANCO;0;10
049032MARROM;0;10
049033UNICA;100;10
049156VERDE;0;10
UC0400;0;6
UC0601;0;6
UC0602;2;2
UC0700;1;2
049125CINZA;0;10
049158UNICA;0;10
VA0100;1;2
049200GRAFITE;6;10
VA1200;1;2
VA1201;1;2
049204CAQUI;30;10
049205CAQUI;0;10
049206CAQUI;5;10
049206GRAFITE;0;10
049207CAQUI;57;10
049207GRAFITE;50;10
049190GELO;100;10
049190AMARELO;59;10
049191AMARELO;39;10
049193AMARELO;0;10
049194GELO;54;10
049194AMARELO;0;10
049195GELO;25;10
049196GELO;89;10
049197GELO;0;10
049198GELO;63;10
049198ROSA;24;10
049216VERDE;0;10
049235UNICA;100;10
049233UNICA;0;10
VL0301;0;6
049231UNICA;0;10
049213BRANCO;100;10
VL1102;1;2
049213GRAFITE;33;10
VL1202;1;2
564418UNICA;1;2
320203UNICA;78;2
745245UNICA;100;2
547015CINZA;100;10
707795PRETO;0;10
900620UNICA;100;2
900625UNICA;100;10
900630UNICA;100;2
920510UNICA;100;2
920520UNICA;100;2
920110UNICA;0;10
901010UNICA;100;2
901015UNICA;100;10
901020UNICA;85;10
901025UNICA;100;2
901040UNICA;43;10
901060UNICA;40;10
901070UNICA;100;10
35969838;0;12
35969839;0;12
35969842;0;12
35969844;0;12
35679838;0;12
35680834;0;12
35680835;0;12
35680836;0;12
36225734;0;12
36225735;0;12
36193334;0;12
36193336;0;12
36193337;0;12
36193338;0;12
36225835;0;12
35681434;0;12
36192334;0;12
110120002186;0;12
049167UNICA;0;10
110120016377;0;12
110120013871;0;12
110120015157;0;12
110100210122;16;2
110101101020;0;12
110120016515;0;12
110120016535;8;2
110120016467;0;12
110120016504;0;12
110120016507;2;2
110120014858;0;12
110120015856;0;12
110220014164;0;12
110220015202;5;2
110220015203;0;12
110220015204;0;12
110220014827;0;12
110220014832;0;12
110120014933;0;12
110120014932;0;12
110120014976;0;12
110120014977;0;12
110120014978;0;12
110220014770;0;12
110220014771;0;12
36981443;0;12
36889243;0;2
110161550707;0;12
700435LARANJA;0;10
750721UNICA;0;10
708445UNICA;31;10
439040UNICA;100;10
745265UNICA;100;2
707165VERDE;0;10
702010UNICA;0;10
091113UNICA;0;10
091114UNICA;100;10
091116UNICA;0;10
653590UNICA;57;10
250710UNICA;0;10
35680837;0;12
36193335;0;12
36225834;0;12
36000338;0;12
92pt-cz;0;12
92az-cz;0;12
92vd-pt;0;12
80cz-pt;0;12
80vm-pt;0;12
78pt;0;12
75pt;0;12
75cz-pt;0;12
75vd-pt;0;12
75am-pt;0;12
75az-cz;0;12
72vd-cz;0;12
72vm-cz;0;12
72pt;0;12
68rs-cz;0;12
68vd-pt;0;12
68pt;0;12
65pt-lr;0;12
60az-cz;0;12
60pt-cz;0;12
60vd-pt;0;12
50az;0;12
50cz-pt;0;12
50pt;0;12
50cz-az;0;12
38pt-cz;0;12
38vd;0;12
38az;0;12
1437pt-cz;1;2
1437vd-pt;0;12
1406vm-cz;0;12
1406pt-cz;0;12
1406vd-pt;0;12
1406rx-rs;0;12
1435pt-cz;0;12
1435vd-pt;0;12
35tcz-az;0;12
35tcz-pt;0;12
35tvd-pt;0;12
35tlr-cz;0;12
31pt-cz;0;12
31vd-pt;0;12
1335pt-cz;0;12
1335vd-pt;0;12
1335vm-cz;0;12
1330pt;0;12
1330pt-cz;0;12
1330az;0;12
1330pt-vd;0;12
30am-cz;0;12
30az-cz;0;12
30cz-pt;0;12
30-pt;0;12
1440pt-cz;0;12
48pt-cz;0;12
48vd-pt;0;12
48vd;0;12
1407vm;0;12
1407pt;0;12
44pt-cz;0;12
44az-cz;0;12
44vd;0;12
44vd-pt;0;12
43pt-cz;0;12
